City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,gotsu,75,JP,1538643600,94,35.01,132.22,68.0,2.24
1,butaritari,68,KI,1538645968,100,3.07,172.79,85.56,8.41
2,kantabanji,36,IN,1538645969,62,20.47,82.92,90.33,5.28
3,alofi,44,NU,1538643600,83,-19.06,-169.92,75.2,10.29
4,qaanaaq,8,GL,1538645969,100,77.48,-69.36,15.81,10.65
5,kuminskiy,76,RU,1538645969,67,58.67,66.57,55.5,7.63
6,punta arenas,75,CL,1538643600,81,-53.16,-70.91,42.8,13.87
7,berdigestyakh,80,RU,1538645970,67,62.1,126.7,39.03,5.95
8,rikitea,24,PF,1538645970,100,-23.12,-134.97,68.46,12.55
9,talnakh,92,RU,1538645970,89,69.49,88.39,34.17,19.48
10,hermanus,0,ZA,1538645971,43,-34.42,19.24,69.0,3.71
11,lata,8,IN,1538645971,78,30.78,78.62,58.74,1.14
12,lompoc,90,US,1538644260,93,34.64,-120.46,64.94,3.6
13,atuona,0,PF,1538645971,100,-9.8,-139.03,79.17,14.67
14,puerto ayora,100,EC,1538645972,100,-0.74,-90.35,69.9,13.67
15,severo-kurilsk,56,RU,1538645972,96,50.68,156.12,46.77,23.06
16,bluff,20,AU,1538645972,32,-23.58,149.07,75.66,5.61
17,arlit,20,NE,1538645973,25,18.74,7.39,95.64,4.5
18,berlevag,75,NO,1538643000,100,70.86,29.09,39.2,27.51
19,dali,68,CN,1538645973,85,25.6,100.24,63.24,2.15
20,vaini,36,IN,1538645974,99,15.34,74.49,79.26,2.71
21,san quintin,75,PH,1538643600,69,17.54,120.52,82.4,6.93
22,port alfred,0,ZA,1538645974,85,-33.59,26.89,65.04,2.04
23,pingshan,56,CN,1538645974,86,28.83,104.35,67.29,3.94
24,dikson,80,RU,1538645975,100,73.51,80.55,37.86,21.72
25,norsup,64,VU,1538645975,90,-16.07,167.38,75.03,6.06
26,codrington,80,AU,1538645975,82,-28.95,153.24,64.32,3.38
27,mackay,20,CA,1538643600,92,53.65,-115.58,24.8,2.24
28,hofn,75,IS,1538643600,75,64.25,-15.21,44.6,11.41
29,albany,90,US,1538644380,93,42.65,-73.75,57.02,4.16
30,upernavik,12,GL,1538645976,100,72.79,-56.15,28.14,5.17
31,oksfjord,75,NO,1538644800,100,70.24,22.35,37.4,1.12
32,guerrero negro,0,MX,1538645977,100,27.97,-114.04,64.77,8.3
33,diego de almagro,80,CL,1538645977,91,-26.39,-70.05,55.23,2.26
34,altamont,0,CA,1538644500,100,49.4,-98.5,30.2,9.17
35,clyde river,90,CA,1538644320,100,70.47,-68.59,15.8,2.24
36,harlingen,20,US,1538644500,90,26.19,-97.7,78.98,3.36
37,ilulissat,90,GL,1538643000,92,69.22,-51.1,28.4,10.29
38,saint george,75,GR,1538644800,60,39.45,22.34,73.4,5.82
39,harper,75,US,1538644500,88,30.3,-99.24,75.92,5.82
40,busselton,92,AU,1538645979,90,-33.64,115.35,65.67,12.77
41,salalah,20,OM,1538643000,48,17.01,54.1,87.8,10.29
42,new norfolk,75,AU,1538643600,62,-42.78,147.06,51.8,6.93
