City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dikson,88,RU,1538729862,97,73.51,80.55,39.34,19.17
1,arraias,36,BR,1538729863,69,-12.93,-46.94,73.09,7.76
2,bambous virieux,20,MU,1538726400,47,-20.34,57.76,78.8,6.93
3,port elizabeth,75,US,1538726160,87,39.31,-74.98,73.04,10.29
4,dalaba,0,GN,1538729864,96,10.69,-12.25,73.0,4.18
5,mahebourg,20,MU,1538726400,47,-20.41,57.7,78.8,6.93
6,ushuaia,75,AR,1538726400,69,-54.81,-68.31,39.2,8.05
7,sorland,75,NO,1538727600,93,67.67,12.69,46.4,5.82
8,busselton,36,AU,1538729866,100,-33.64,115.35,62.56,18.5
9,hithadhoo,88,MV,1538729866,98,-0.6,73.08,84.43,24.2
10,hermanus,0,ZA,1538729866,30,-34.42,19.24,80.47,3.29
11,kavaratti,92,IN,1538729866,100,10.57,72.64,78.31,7.54
12,berea,20,US,1538727420,83,41.37,-81.85,51.98,3.36
13,saint-philippe,1,CA,1538727300,81,45.36,-73.48,39.2,6.93
14,qaanaaq,12,GL,1538729867,100,77.48,-69.36,17.11,8.99
15,lebu,20,ET,1538726400,30,8.96,38.73,71.6,16.11
16,axim,76,GH,1538729868,96,4.87,-2.24,78.67,9.22
17,bubaque,0,GW,1538726400,94,11.28,-15.83,75.2,2.24
18,les cayes,92,HT,1538729868,100,18.19,-73.75,79.12,6.42
19,saint-augustin,0,FR,1538728200,63,44.83,-0.61,64.4,9.17
20,bukama,88,CD,1538729869,52,-9.2,25.85,87.31,7.31
21,mehamn,0,NO,1538725800,100,71.03,27.85,35.6,11.41
22,bindi,24,NG,1538729869,68,12.86,8.84,86.41,4.74
23,camacha,20,PT,1538728200,83,33.08,-16.33,71.6,2.24
24,pangnirtung,88,CA,1538729870,83,66.15,-65.72,32.59,31.36
25,codrington,88,AU,1538729870,88,-28.95,153.24,62.47,1.39
26,cape town,0,ZA,1538726400,49,-33.93,18.42,71.6,3.36
27,erice,75,IT,1538727600,60,38.04,12.59,73.4,12.75
28,torbay,90,CA,1538726400,93,47.66,-52.73,62.6,17.22
29,novoagansk,0,RU,1538729871,67,61.94,76.66,56.53,8.77
30,clyde river,90,CA,1538726400,80,70.47,-68.59,30.2,12.75
31,santiago de chuco,68,PE,1538729871,100,-8.15,-78.17,44.29,1.28
32,manjeshwar,75,IN,1538728200,66,12.72,74.89,87.8,6.93
33,mar del plata,24,AR,1538729872,100,-46.43,-67.52,34.12,1.16
34,saint george,75,GR,1538727600,52,39.45,22.34,69.8,16.11
35,bredasdorp,8,ZA,1538726400,68,-34.53,20.04,69.8,13.87
36,chuy,0,UY,1538729873,94,-33.69,-53.46,44.11,10.78
